6.906527999999999884e+04,4.017880000000000109e+02,4.949999999999999539e-03,9.999999999981378229e-01,9.999994305755310897e-01,4.450787477106865708e+02,5.765014754761785958e-10
6.925458000000000175e+04,4.027889999999999873e+02,5.283333333333333458e-03,9.999999999981310506e-01,9.999994315758699015e-01,4.450787478055925135e+02,5.735175923198024035e-10
7.104000000000000000e+04,4.071809999999999832e+02,6.183333333333333216e-03,9.999999999980666576e-01,9.999994409696107978e-01,4.450787486968131361e+02,5.459939665917525200e-10
7.119396000000000640e+04,4.081809999999999832e+02,6.500000000000000569e-03,9.999999999980611065e-01,9.999994417806169489e-01,4.450787487737564447e+02,5.436595589213330789e-10
7.133100000000000000e+04,4.091849999999999454e+02,7.333333333333333197e-03,9.999999999980562215e-01,9.999994425032122658e-01,4.450787488423118816e+02,5.415852012970902433e-10
7.145850000000000000e+04,4.101859999999999786e+02,7.849999999999999339e-03,9.999999999980516696e-01,9.999994431762125879e-01,4.450787489061621045e+02,5.396579290676252340e-10
7.157555999999999767e+04,4.111879999999999882e+02,8.550000000000000308e-03,9.999999999980475618e-01,9.999994437947864467e-01,4.450787489648485575e+02,5.378905222295100699e-10
7.168517999999999302e+04,4.121909999999999741e+02,9.150000000000000147e-03,9.999999999980434540e-01,9.999994443746996753e-01,4.450787490198671321e+02,5.362370573417831727e-10
7.178507999999998719e+04,4.131920000000000073e+02,1.003333333333333334e-02,9.999999999980397902e-01,9.999994449037927780e-01,4.450787490700641342e+02,5.347314270564915773e-10
7.187868000000000757e+04,4.141970000000000027e+02,1.073333333333333431e-02,9.999999999980364596e-01,9.999994454000794564e-01,4.450787491171489023e+02,5.333216963370505829e-10
7.196483999999999651e+04,4.151989999999999554e+02,1.163333333333333233e-02,9.999999999980333509e-01,9.999994458574282818e-01,4.450787491605393029e+02,5.320247484323987028e-10
7.204494000000000233e+04,4.162039999999999509e+02,1.255000000000000039e-02,9.999999999980303533e-01,9.999994462830738007e-01,4.450787492009219477e+02,5.308195796900312540e-10
7.212047999999999593e+04,4.172049999999999841e+02,1.325000000000000136e-02,9.999999999980279108e-01,9.999994466849185804e-01,4.450787492390464877e+02,5.296834578543173570e-10
7.218954000000000815e+04,4.182060000000000173e+02,1.450000000000000074e-02,9.999999999980252463e-01,9.999994470526744061e-01,4.450787492739369782e+02,5.286451245296572729e-10
7.225590000000000873e+04,4.192060000000000173e+02,1.506666666666666744e-02,9.999999999980230259e-01,9.999994474064102246e-01,4.450787493074972190e+02,5.276476463724799789e-10
7.231938000000000466e+04,4.202089999999999463e+02,1.579999999999999807e-02,9.999999999980205834e-01,9.999994477451343844e-01,4.450787493396333048e+02,5.266936657276881121e-10
7.237704000000000815e+04,4.212110000000000127e+02,1.738333333333333050e-02,9.999999999980185850e-01,9.999994480531018137e-01,4.450787493688513905e+02,5.258272985265342831e-10
7.242863999999999942e+04,4.222149999999999750e+02,1.946666666666666684e-02,9.999999999980166976e-01,9.999994483289499358e-01,4.450787493950221574e+02,5.250520890669462307e-10
7.247441999999999825e+04,4.232219999999999800e+02,2.198333333333333389e-02,9.999999999980152543e-01,9.999994485738860073e-01,4.450787494182601449e+02,5.243643846959077569e-10
7.251612000000000990e+04,4.242239999999999895e+02,2.403333333333333363e-02,9.999999999980134779e-01,9.999994487971614054e-01,4.450787494394432429e+02,5.237380158730342747e-10
7.255469999999999709e+04,4.252279999999999518e+02,2.603333333333333541e-02,9.999999999980121457e-01,9.999994490038768280e-01,4.450787494590550750e+02,5.231585450176334353e-10
7.259039999999999418e+04,4.262309999999999945e+02,2.809999999999999998e-02,9.999999999980108134e-01,9.999994491952882703e-01,4.450787494772150126e+02,5.226223528676020481e-10
7.262340000000000873e+04,4.272350000000000136e+02,3.041666666666666477e-02,9.999999999980095922e-01,9.999994493723337596e-01,4.450787494940120155e+02,5.221267269851169675e-10
7.265405999999999767e+04,4.282359999999999900e+02,3.263333333333333364e-02,9.999999999980085930e-01,9.999994495369214365e-01,4.450787495096271300e+02,5.216662546618331430e-10
7.268250000000000000e+04,4.292379999999999427e+02,3.525000000000000355e-02,9.999999999980074827e-01,9.999994496896761342e-01,4.450787495241195302e+02,5.212391281618102945e-10
7.270919999999999709e+04,4.302419999999999618e+02,3.758333333333332971e-02,9.999999999980067056e-01,9.999994498331600257e-01,4.450787495377323921e+02,5.208381349743019774e-10
7.273374000000000524e+04,4.312459999999999809e+02,4.090000000000000580e-02,9.999999999980058174e-01,9.999994499651008173e-01,4.450787495502501656e+02,5.204695812449779111e-10
7.275695999999999185e+04,4.322469999999999573e+02,4.311666666666667119e-02,9.999999999980049292e-01,9.999994500900021288e-01,4.450787495620999721e+02,5.201208499968198224e-10
7.277916000000000349e+04,4.332549999999999955e+02,4.543333333333333252e-02,9.999999999980041521e-01,9.999994502094696758e-01,4.450787495734343793e+02,5.197874347017578280e-10
7.279992000000001281e+04,4.342590000000000146e+02,4.836666666666666892e-02,9.999999999980033749e-01,9.999994503212351615e-01,4.450787495840379506e+02,5.194756426268838456e-10
7.281887999999999010e+04,4.352640000000000100e+02,5.300000000000000544e-02,9.999999999980024867e-01,9.999994504233504777e-01,4.450787495937260019e+02,5.191908797458143609e-10
7.283669999999999709e+04,4.362690000000000055e+02,5.641666666666666358e-02,9.999999999980020426e-01,9.999994505193611216e-01,4.450787496028349324e+02,5.189232347549622608e-10
7.285350000000000000e+04,4.372719999999999914e+02,5.971666666666666790e-02,9.999999999980013765e-01,9.999994506099078029e-01,4.450787496114254509e+02,5.186709050298898900e-10
