time,force_meas_N,disp_meas,force_sim_N,disp_sim
8.124223602484473283e-02,1.856250000000000000e+05,4.803503941968223501e-01,1.499852162869695458e+05,4.690961206749184598e-01
8.322981366459628050e-02,1.749671052631578641e+05,4.797301876221393702e-01,1.414653812039054465e+05,4.694565619044165361e-01
8.472049689440994125e-02,1.660855263157894660e+05,4.791115025898555757e-01,1.359722653416244138e+05,4.695345059197070792e-01
8.720496894409937583e-02,1.500986842105262913e+05,4.772090737697692875e-01,1.267236290650558221e+05,4.693170806915168414e-01
8.869565217391306433e-02,1.341118421052631165e+05,4.760676164777175035e-01,1.211389033181280683e+05,4.689887092231188603e-01
9.018633540372672508e-02,1.199013157894736360e+05,4.749261591856657749e-01,1.155388100293760508e+05,4.685198153911495078e-01
9.217391304347824499e-02,9.858552631578942237e+04,4.734042161295967666e-01,1.080642586693736666e+05,4.676872649038048557e-01
9.515527950310559424e-02,8.082236842105265532e+04,4.711213015454931985e-01,9.688173332307988312e+04,4.660253843472439983e-01
9.714285714285714191e-02,6.483552631578948058e+04,4.690211381764700094e-01,8.947922199168565567e+04,4.646645086869852781e-01
1.011180124223602650e-01,4.707236842105260439e+04,4.647015510913558023e-01,7.489991992273944197e+04,4.614042574269932584e-01
1.050931677018633603e-01,3.197368421052630219e+04,4.593014147069885977e-01,6.076166589744321391e+04,4.575258465476483294e-01
1.110559006211180311e-01,1.865131578947369781e+04,4.511872368932520749e-01,4.071078627604908979e+04,4.508027680912834456e-01
1.165217391304347871e-01,1.243421052631583734e+04,4.478893556714075852e-01,2.386585600271869043e+04,4.439652554136985785e-01
1.239751552795031186e-01,1.243421052631583734e+04,4.344358780913797902e-01,3.687715865332560497e+03,4.340848797818319671e-01
1.296894409937888459e-01,1.065789473684208133e+04,4.271576863765046972e-01,9.435331897571159061e+03,4.264046115420170313e-01
1.386335403726708382e-01,7.105263157894740289e+03,4.167678283377724280e-01,2.586101239119163802e+04,4.147732203208615576e-01
1.475776397515528304e-01,4.440789473684219047e+03,4.025812159690860814e-01,3.729514383771990106e+04,4.042043884159290390e-01
1.510559006211180388e-01,2.664473684210520332e+03,3.996503496503496788e-01,4.044776635245446960e+04,4.004907651487638609e-01
