time,force_meas_kN,disp_meas,force_sim_N,disp_sim
4.496894409937888387e-02,3.827960526315789593e+02,3.837614182678876773e-01,1.142089051262963221e+04,3.803966631663062703e-01
4.546583850931677079e-02,3.703618421052631220e+02,3.868316946754609131e-01,1.499331742847939131e+04,3.832676862706371201e-01
4.621118012422360116e-02,3.579276315789473415e+02,3.907166076507808117e-01,1.857538877486821366e+04,3.875028959796925632e-01
4.670807453416148808e-02,3.472697368421052602e+02,3.928150577581703828e-01,1.870236796697842510e+04,3.902704566895418559e-01
4.720496894409937499e-02,3.375000000000000000e+02,3.949135078655598985e-01,1.688491720021768197e+04,3.929922627701264437e-01
4.745341614906831845e-02,3.277302631578946830e+02,3.959627329192547118e-01,1.540045046597678629e+04,3.943372040330273554e-01
4.819875776397516270e-02,3.117434210526315610e+02,3.991104080803390963e-01,1.008095824545211872e+04,3.983193538719426163e-01
4.894409937888199308e-02,2.993092105263157237e+02,4.022580832414234253e-01,6.326001315650101787e+03,4.022447592075200085e-01
4.944099378881987999e-02,2.859868421052631220e+02,4.043565333488129410e-01,6.043035738986664001e+03,4.048406929678470823e-01
4.993788819875775303e-02,2.700000000000000000e+02,4.064549834562024566e-01,7.721595412220997787e+03,4.074212961829621338e-01
5.093167701863354074e-02,2.531249999999999716e+02,4.106518836709815989e-01,1.393622316370801491e+04,4.125172041320094296e-01
5.267080745341615883e-02,2.300328947368420813e+02,4.182059338890766753e-01,1.665164358605356028e+04,4.210846988384566170e-01
5.590062111801242378e-02,2.175986842105263008e+02,4.329398076380446825e-01,1.017059377525506716e+04,4.359231129768180169e-01
6.111801242236023640e-02,2.007236842105263008e+02,4.516385197724030465e-01,8.555977096980483111e+03,4.573252560064409722e-01
6.633540372670806984e-02,2.033881578947368212e+02,4.661228147632009433e-01,7.846547594595869668e+03,4.755211745104520604e-01
6.981366459627330601e-02,2.104934210526315610e+02,4.723727439696428498e-01,1.297774230485263433e+04,4.859464829608938219e-01
7.254658385093165629e-02,2.069407894736841627e+02,4.755412824897165547e-01,9.711195960641140118e+03,4.931093668031624189e-01
7.602484472049689246e-02,1.998355263157894797e+02,4.795739678789013860e-01,1.057927615111261366e+04,5.010660824213801767e-01
7.875776397515529825e-02,1.953947368421052602e+02,4.811256524151760194e-01,1.098223317882828997e+04,5.063742982255702296e-01
8.124223602484473283e-02,1.856250000000000000e+02,4.803503941968223501e-01,1.140549694986192117e+04,5.105042975070072098e-01
8.322981366459628050e-02,1.749671052631578618e+02,4.797301876221393702e-01,8.880439424022068124e+03,5.133051747877594995e-01
8.472049689440994125e-02,1.660855263157894797e+02,4.791115025898555757e-01,1.087049188344116919e+04,5.151646494813901800e-01
8.720496894409937583e-02,1.500986842105263008e+02,4.772090737697692875e-01,1.056495017316501071e+04,5.177220204581742813e-01
8.869565217391306433e-02,1.341118421052631220e+02,4.760676164777175035e-01,9.116448075072436041e+03,5.189365830481648123e-01
9.018633540372672508e-02,1.199013157894736423e+02,4.749261591856657749e-01,9.942166100019205260e+03,5.199430957242425766e-01
9.217391304347824499e-02,9.858552631578942282e+01,4.734042161295967666e-01,1.063939891121591063e+04,5.209394362428229064e-01
9.515527950310559424e-02,8.082236842105265850e+01,4.711213015454931985e-01,9.464004133382308282e+03,5.216677216795930772e-01
9.714285714285714191e-02,6.483552631578947967e+01,4.690211381764700094e-01,9.108617607651836806e+03,5.216789626045882367e-01
1.011180124223602650e-01,4.707236842105260166e+01,4.647015510913558023e-01,7.078682439920979959e+03,5.206583563647722013e-01
1.050931677018633603e-01,3.197368421052630083e+01,4.593014147069885977e-01,3.695760260184942581e+03,5.185371315399960324e-01
1.110559006211180311e-01,1.865131578947369917e+01,4.511872368932520749e-01,2.342022270299991760e+03,5.144717230472949376e-01
1.165217391304347871e-01,1.243421052631583734e+01,4.478893556714075852e-01,6.851408773232758904e+03,5.113974671740343370e-01
1.239751552795031186e-01,1.243421052631583734e+01,4.344358780913797902e-01,8.552636119497639811e+03,5.105290781248580378e-01
1.296894409937888459e-01,1.065789473684208133e+01,4.271576863765046972e-01,5.880426511940983801e+03,5.129648540646050137e-01
1.386335403726708382e-01,7.105263157894739834e+00,4.167678283377724280e-01,2.068663096365746696e+03,5.199303575525556775e-01
1.475776397515528304e-01,4.440789473684219502e+00,4.025812159690860814e-01,7.682409566408587125e+03,5.254063583040899932e-01
1.510559006211180388e-01,2.664473684210520332e+00,3.996503496503496788e-01,7.926553758358906634e+03,5.260762827853238122e-01
